material_id,formula,chemistry_family,predicted_voltage_V,est_capacity_mAh_g,est_energy_density_Wh_kg,energy_above_hull_meV,formation_energy_eV_atom,nsites
mp-1173960,Li3Co2O5,oxide,0.977837324142456,367.6772020426145,359.5284913935354,27.677708999999002,-1.736815992,20
mp-1173962,Li3Mn2O5,oxide,0.8596807718276978,381.62075053220013,328.07202136298713,21.640222999987,-2.1503754005862072,20
mp-1173969,Li3Mn2O5,oxide,0.6745457649230957,381.62075053220013,257.42066107826884,46.176426999988,-2.125839196586207,20
mp-1302334,Li3V4O8,oxide,0.468276709318161,228.04765499985535,106.78940545105553,43.297463583339,-2.466462916666666,30
mp-16828,Li3B7O12,oxide,3.3786520957946777,278.71059520376247,941.6661366053742,0.0,-2.8171228433712123,44
mp-2767662,Li3Ni5O8,oxide,1.409985899925232,181.79672301944538,256.3308161100308,2.1255521874980006,-1.48224974875,16
mp-28510,Li3BiO3,oxide,-0.2764911949634552,289.43677790192714,-80.02672058847602,0.0,-1.959947816785713,56
mp-29040,Li3Zr4F19,fluoride,1.0606131553649902,107.68343517344063,114.21046795984424,24.730281586538002,-3.829627264423076,52
mp-755926,Li3CoO3,oxide,0.40046992897987366,629.3795215420965,252.04757229335027,45.12676214286301,-1.8359350699999992,14
mp-761161,Li3MnF5,fluoride,1.8153715133666992,470.89053355242635,854.8412605251207,49.624682500001,-3.049202952547892,18
mp-762165,Li3(NiO2)5,oxide,1.5275245904922485,169.53133565543007,258.96328407266475,35.434682268518,-1.24353582,18
mp-777320,Li3Mn4F19,fluoride,3.4196321964263916,133.66584591277905,457.0880302459082,49.425724086547,-2.5921331350663133,52
mp-777780,Li3MnF6,fluoride,2.3701560497283936,423.74376576747386,1004.3388499684695,22.941704500005002,-3.007406062293103,20
mp-675212,Li3(WO3)8,oxide,0.5637916326522827,42.87111377560438,24.17037522916976,26.581958964287004,-2.192906593142857,35
mp-1029492,Li3CoN2,oxide,0.46078556776046753,746.0916968278484,343.78828612419073,0.0,-0.389097481041667,48
mp-1029562,Li3InN2,other,0.19481509923934937,491.31584607563263,95.71574531108926,0.0,-0.485028834583333,48
mp-1029592,Li3YN2,other,-0.9919571876525879,583.7424610096032,-579.0475299364864,0.0,-0.9234487106249991,48
mp-1211411,Li3Sn3Pt2,sulfide,0.4946584701538086,104.8152768598435,51.84776450023808,16.198916406247,-0.558735907812499,64
mp-13944,Li3AlN2,other,0.361204594373703,1060.5141934048836,383.0625990563658,0.0,-1.045083798333333,48
mp-3887,Li3GaN2,other,0.42549464106559753,678.1916912534982,288.56693024357776,0.0,-0.70524114625,48
mp-542435,Li3ScN2,sulfide,-1.2485512495040894,857.2770868469476,-1070.354377953982,0.0,-1.049828191874998,48
mp-766506,Li3CuS2,sulfide,-0.3671330511569977,541.4581916376542,-198.78719796988236,18.447646458331,-1.1922166877083331,48
mp-770608,Li3Mn3O8,oxide,1.2331863641738892,256.3702495790174,316.152295960701,31.071843380946003,-1.977158775985222,56
mp-753982,Li3CrS4,sulfide,0.19307488203048706,399.87248799104435,77.20533344610824,46.847076249999,-1.172064837499999,8
mp-755309,Li3NbS4,sulfide,0.057416245341300964,332.27077981686637,19.077740613710592,7.749648684209001,-1.390220304999999,8
mp-760375,Li3VS4,sulfide,0.06735029816627502,401.98075735722375,27.073523865114073,0.0,-1.36022377375,8
mp-31488,Li3NbO4,oxide,-0.11100086569786072,452.4130213656925,-50.218237024576624,0.0,-2.717096784687499,32
mp-756935,Li3SbO3,sulfate,0.5467133522033691,421.89890713249787,230.65776580934585,9.16186642857,-2.06343260142857,28
